id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,a623a84114f45b18db951375443a69f8,2023-04-07T00:00:00,0,Москва,3019,Светлана,Великая,8,Лампочка LED,2,600
2,0f5f5c79bb76c02986519835f74b9b60,2023-04-07T00:00:00,2,Ярославль,6004,Алексей,Иванов,3,Устройство для нагревания табака Трубка Мира,2,1000
3,4286fb11828c9127b559f347f2a56734,2023-04-07T00:00:00,0,Москва,8604,Геннадий,Васильев,4,Сахар песок,2,100
4,78186e3cb2b83687106eb59632160f92,2023-04-07T00:00:00,0,Москва,2105,Петр,Петров,10,Томаты,3,150
5,bb7c4b24bf2235abcc8dfd82c1de0fef,2023-04-07T00:00:00,0,Москва,4200,Сергей,Сидоров,9,Ручка шариковая,3,135
6,505349e9def55af3601946d72b298438,2023-04-07T00:00:00,0,Москва,8005,Геннадий,Иванов,6,Яблоко,2,280
7,7e647df98255c2eca44a3a2d29aee031,2023-04-07T00:00:00,2,Ярославль,4711,Екатерина,Павлова,0,Молоко 1%,1,100
8,677d3da33ca058f2a5cdf34f34aa9bdb,2023-04-07T00:00:00,1,Ростов,4504,Сергей,Попов,7,Средство для мытья посуды,3,600
9,6f1e489deef420b9c1e0041fed64922e,2023-04-07T00:00:00,0,Москва,8114,Снежанна,Федорова,9,Ручка шариковая,5,225
10,bdd546c1edd790cee30a7e1716700571,2023-04-07T00:00:00,0,Москва,3118,Светлана,Федорова,5,Яблоко молодильное,5,2000
11,628b77253ee40717af60778400576134,2023-04-07T00:00:00,1,Ростов,5709,Александр,Соколов,1,Молоко 3%,2,240
12,2fc62b1ece38829fb74a22b41814773a,2023-04-07T00:00:00,2,Ярославль,5509,Александр,Попов,5,Яблоко молодильное,1,400
13,fea0fb6d06d305bcd598cec2231632bc,2023-04-07T00:00:00,1,Ростов,8914,Снежанна,Орлова,10,Томаты,1,50
14,dbd407b3dea2ba7e9734ed4fce9d680c,2023-04-07T00:00:00,2,Ярославль,4914,Екатерина,Орлова,7,Средство для мытья посуды,3,600
15,c25f7fda2a8e6c7b43080563eabca6d5,2023-04-07T00:00:00,1,Ростов,6918,Елизавета,Орлова,10,Томаты,3,150
16,a9efbc4487cb3f1384de022b81bce8a5,2023-04-07T00:00:00,1,Ростов,5200,Александр,Сидоров,1,Молоко 3%,1,120
17,5989aa8ba6d5818badf100e51c5cb449,2023-04-07T00:00:00,1,Ростов,9001,Эдуард,Иванов,9,Ручка шариковая,4,180
18,f0482a29e4dc5dd1df629d512e2d2e64,2023-04-07T00:00:00,0,Москва,8911,Снежанна,Орлова,11,Хлеб ржаной,5,100
19,eec8c498383f2911fed67142d1508faa,2023-04-07T00:00:00,1,Ростов,9006,Эдуард,Иванов,3,Устройство для нагревания табака Трубка Мира,4,2000
20,e1720053ff3e462fcba0fa182022ffb5,2023-04-07T00:00:00,1,Ростов,6700,Алексей,Соколов,8,Лампочка LED,1,300
21,202feba99048cd1ce51ceb89ccbb0aff,2023-04-07T00:00:00,0,Москва,3305,Олег,Смирнов,3,Устройство для нагревания табака Трубка Мира,3,1500
22,12d59f8748b3073e1c020200326f9870,2023-04-07T00:00:00,2,Ярославль,5415,Оксана,Алексеева,11,Хлеб ржаной,4,80
23,02250acc010a6854c9fdbc0c5e918d95,2023-04-07T00:00:00,1,Ростов,6114,Елизавета,Федорова,9,Ручка шариковая,3,135
