id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount,status
1,09b2ca68e1ff93886462971281d9454a,2023-04-18T00:00:00,2,Ярославль,7619,Анна,Егорова,0,Молоко 1%,4,400,shipped
2,f760ac821687e0c36842802a285da59e,2023-04-18T00:00:00,2,Ярославль,7109,Константин,Петров,2,Молоко 5%,3,450,shipped
3,0a835b4f0e4812338351f958a5a0d086,2023-04-18T00:00:00,1,Ростов,4313,Екатерина,Волкова,1,Молоко 3%,3,360,shipped
4,d692cffe572a76704e39827398421be9,2023-04-18T00:00:00,2,Ярославль,9403,Эдуард,Кузнецов,1,Молоко 3%,3,360,shipped
5,39b6738c412bea6450d9f88165930dfb,2023-04-18T00:00:00,1,Ростов,9606,Эдуард,Васильев,5,Яблоко молодильное,4,1600,shipped
6,53c7eeb41e6e03debb8d7446e73ac35a,2023-04-18T00:00:00,2,Ярославль,7916,Анна,Орлова,10,Томаты,4,200,shipped
7,7860b142a95075497b5c1b0d2ab402c1,2023-04-18T00:00:00,2,Ярославль,3512,Светлана,Лебедева,7,Средство для мытья посуды,3,600,shipped
8,b50172077a011ce520d6513ffa3e22ed,2023-04-18T00:00:00,0,Москва,4505,Сергей,Попов,9,Ручка шариковая,5,225,shipped
9,154ca93b6079a95266643dbb1d1fff49,2023-04-18T00:00:00,0,Москва,817,Александра,Козлова,7,Средство для мытья посуды,4,800,shipped
10,88931d568031258a44cd03f5b4546286,2023-04-18T00:00:00,1,Ростов,6015,Елизавета,Великая,10,Томаты,5,250,shipped
11,2c6643076d9fd7aaed3e441d932fac46,2023-04-18T00:00:00,2,Ярославль,7319,Анна,Волкова,10,Томаты,5,250,shipped
12,a731bd5c0155b3d17f8a664f8d4ea983,2023-04-18T00:00:00,1,Ростов,7302,Константин,Смирнов,4,Сахар песок,5,250,shipped
13,37f6cf1ce264ea60b39e98161011b925,2023-04-18T00:00:00,2,Ярославль,6300,Алексей,Смирнов,4,Сахар песок,3,150,shipped
14,085aedca4eaef8c977701f88ac3f2372,2023-04-18T00:00:00,2,Ярославль,8909,Геннадий,Новиков,3,Устройство для нагревания табака Трубка Мира,1,500,shipped
15,1f4f76cb32d2ae1045b99ca19118bd3a,2023-04-18T00:00:00,0,Москва,5106,Александр,Петров,7,Средство для мытья посуды,5,1000,shipped
16,960ee6cdd79ffa826f75e211c8584050,2023-04-18T00:00:00,0,Москва,4702,Сергей,Соколов,6,Яблоко,2,280,shipped
17,899e67419e248fac498493c7a865a746,2023-04-18T00:00:00,0,Москва,2216,Ольга,Морозова,0,Молоко 1%,2,200,shipped
