id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount,status
1,12dc83e7886812b328c837d388e99757,2023-04-09T00:00:00,1,Ростов,3207,Олег,Сидоров,2,Молоко 5%,2,300,shipped
2,49187384d6414207bc27c8470869b5b2,2023-04-09T00:00:00,2,Ярославль,9302,Эдуард,Смирнов,4,Сахар песок,5,250,shipped
3,93124642bfc85731a53acb3adef25586,2023-04-09T00:00:00,2,Ярославль,7114,Анна,Федорова,10,Томаты,5,250,shipped
4,68c6e93dce9e456d5e152feee46c2a42,2023-04-09T00:00:00,0,Москва,9306,Эдуард,Смирнов,0,Молоко 1%,3,300,shipped
5,5e7655aace9e4a3811732d9a02edf436,2023-04-09T00:00:00,0,Москва,4015,Екатерина,Великая,11,Хлеб ржаной,2,40,shipped
6,bfb2f5b3c8b70fa75689d09f8f970627,2023-04-09T00:00:00,1,Ростов,5317,Оксана,Волкова,6,Яблоко,5,700,shipped
7,51c6eb4ce513c4602ae92b724e32b1e8,2023-04-09T00:00:00,2,Ярославль,2516,Ольга,Лебедева,9,Ручка шариковая,4,180,shipped
8,3f3f2c35b2acfac466b381be19e71d75,2023-04-09T00:00:00,2,Ярославль,4709,Сергей,Соколов,9,Ручка шариковая,4,180,shipped
9,843dad15213368713d4341b89ef1f32f,2023-04-09T00:00:00,1,Ростов,8206,Геннадий,Сидоров,11,Хлеб ржаной,5,100,shipped
10,e21df27f428d882cbbc5169995f0d441,2023-04-09T00:00:00,2,Ярославль,7818,Анна,Козлова,7,Средство для мытья посуды,1,200,shipped
11,fbd4db7426e1374e77860a24ec23a584,2023-04-09T00:00:00,2,Ярославль,2904,Петр,Новиков,1,Молоко 3%,2,240,shipped
12,1aa007071ebf57a6145ee184e86cec0a,2023-04-09T00:00:00,0,Москва,2918,Ольга,Орлова,9,Ручка шариковая,5,225,shipped
13,3e0be117135806a4b0eaac62645e9ce3,2023-04-09T00:00:00,2,Ярославль,5008,Александр,Иванов,0,Молоко 1%,2,200,shipped
14,d203bd7497fe17e13d2597ea6f1a05a7,2023-04-09T00:00:00,2,Ярославль,3010,Светлана,Великая,10,Томаты,1,50,shipped
15,210758f796271dd0cbc18ebee02f795c,2023-04-09T00:00:00,1,Ростов,4012,Екатерина,Великая,0,Молоко 1%,2,200,shipped
16,db46beb470463b981a118623a46d2415,2023-04-09T00:00:00,2,Ярославль,4415,Екатерина,Алексеева,2,Молоко 5%,1,150,shipped
17,1331a8f86f47f201572368ab6f5cf909,2023-04-09T00:00:00,0,Москва,1515,Евгения,Лебедева,5,Яблоко молодильное,1,400,shipped
18,79933640312dacedc3bd59e0930344a2,2023-04-09T00:00:00,1,Ростов,6902,Алексей,Новиков,4,Сахар песок,5,250,shipped
19,74d1dc8f5f6c91289a104ae5c3dc88b9,2023-04-09T00:00:00,2,Ярославль,1309,Евгений,Смирнов,1,Молоко 3%,3,360,shipped
20,57f776d42078259121ca55c64ce86fb7,2023-04-09T00:00:00,1,Ростов,2514,Ольга,Лебедева,2,Молоко 5%,4,600,shipped
21,9046774ff7a87608e34564b80872877d,2023-04-09T00:00:00,1,Ростов,6008,Алексей,Иванов,9,Ручка шариковая,2,90,shipped
22,fb8d017eb8886ff61ef12883eb209567,2023-04-09T00:00:00,1,Ростов,3112,Светлана,Федорова,7,Средство для мытья посуды,5,1000,shipped
23,58f193517d171c5375182b195fd58182,2023-04-09T00:00:00,2,Ярославль,615,Александра,Егорова,1,Молоко 3%,5,600,shipped
24,d9c484aa32445540de12841878fa919b,2023-04-09T00:00:00,0,Москва,818,Александра,Козлова,5,Яблоко молодильное,4,1600,shipped
25,d3da0462e08174c0c03dd70e4077e7b7,2023-04-09T00:00:00,2,Ярославль,2605,Петр,Васильев,3,Устройство для нагревания табака Трубка Мира,3,1500,shipped
26,71410c24a0a106982681453a8241dfe4,2023-04-09T00:00:00,2,Ярославль,612,Александра,Егорова,11,Хлеб ржаной,3,60,shipped
27,b98dc9d4eab93031dcb132a394b5da08,2023-04-09T00:00:00,0,Москва,9212,Надежда,Морозова,5,Яблоко молодильное,2,800,refunded
28,b259f16b49346a6247a8fd580d91577d,2023-04-09T00:00:00,2,Ярославль,4517,Екатерина,Лебедева,2,Молоко 5%,3,450,shipped
29,3026fe80e9645dca350870163ab94515,2023-04-09T00:00:00,1,Ростов,9312,Надежда,Волкова,6,Яблоко,1,140,shipped
30,2cbaca037070b11c402384ed3858284f,2023-04-09T00:00:00,0,Москва,6018,Елизавета,Великая,6,Яблоко,3,420,shipped
31,5e524d2d9b60478fbbb5a6d9e26799d9,2023-04-09T00:00:00,1,Ростов,3106,Олег,Петров,9,Ручка шариковая,4,180,shipped
32,28400ce7354ee6861c1a80d8435cc56b,2023-04-09T00:00:00,1,Ростов,301,Иван,Смирнов,1,Молоко 3%,2,240,shipped
33,b210a98ba7e499b77d635c6faccbc26b,2023-04-09T00:00:00,2,Ярославль,8402,Геннадий,Кузнецов,1,Молоко 3%,3,360,shipped
